Crop Type,Nitrogen (N),Phosphorus (P),Potassium (K),Soil pH,Soil Type,Target Fertilizer
Sugarcane,83,44,98,5.9,Loamy,NPK 10-26-26
Wheat,24,12,22,6.6,Loamy,NPK 15-15-15
Sugarcane,80,49,84,4.5,Silty,DAP
Maize,63,49,20,8.2,Silty,DAP
Maize,58,43,30,8.4,Silty,NPK 10-26-26
Maize,67,46,40,4.5,Silty,DAP
Cotton,63,26,39,5.3,Loamy,NPK 10-26-26
Sugarcane,98,44,90,8.1,Silty,NPK 10-26-26
Rice,34,32,11,8.0,Silty,NPK 20-20-0
Sugarcane,97,60,71,7.4,Sandy,DAP
Wheat,23,10,28,8.2,Loamy,NPK 15-15-15
Rice,52,22,22,8.2,Sandy,Urea
Sugarcane,120,56,92,8.2,Clayey,DAP
Wheat,47,24,10,4.5,Silty,Urea
Sugarcane,118,58,100,6.3,Clayey,DAP
Maize,61,45,39,5.6,Clayey,DAP
Maize,67,50,22,8.0,Clayey,DAP
Maize,70,44,37,8.4,Silty,NPK 10-26-26
Rice,38,37,16,6.1,Sandy,DAP
Wheat,49,12,26,8.2,Loamy,Urea
Cotton,40,40,34,7.2,Clayey,NPK 10-26-26
Rice,47,26,27,7.8,Clayey,NPK 10-26-26
Rice,41,29,10,6.9,Clayey,NPK 20-20-0
Rice,43,25,22,6.3,Silty,NPK 10-26-26
Maize,78,49,40,4.6,Sandy,DAP
Rice,39,38,18,6.6,Silty,DAP
Cotton,58,26,43,7.7,Clayey,NPK 10-26-26
Rice,59,37,19,5.7,Loamy,NPK 10-26-26
Wheat,29,18,17,7.8,Sandy,NPK 15-15-15
Sugarcane,99,48,89,5.4,Silty,DAP
Maize,73,46,28,6.7,Clayey,DAP
Wheat,26,14,25,6.4,Clayey,NPK 15-15-15
Wheat,39,12,13,5.5,Loamy,NPK 15-15-15
Maize,72,30,28,5.8,Clayey,NPK 10-26-26
Wheat,23,15,30,5.2,Loamy,NPK 15-15-15
Wheat,24,36,11,7.9,Silty,DAP
Sugarcane,101,52,80,8.3,Silty,DAP
Cotton,67,29,43,5.9,Silty,NPK 10-26-26
Sugarcane,103,51,65,5.1,Silty,DAP
Rice,31,37,13,6.2,Clayey,DAP
Sugarcane,110,60,97,8.4,Clayey,DAP
Sugarcane,102,59,92,7.8,Sandy,DAP
Cotton,55,38,33,4.6,Clayey,NPK 10-26-26
Maize,74,47,25,7.4,Clayey,DAP
Cotton,70,29,39,6.8,Loamy,NPK 10-26-26
Maize,70,41,33,6.8,Silty,NPK 10-26-26
Maize,52,32,38,7.3,Sandy,NPK 10-26-26
Cotton,49,37,30,4.9,Sandy,NPK 10-26-26
Wheat,29,10,10,7.0,Clayey,CAN
Wheat,29,35,11,6.3,Silty,DAP
Rice,42,37,27,5.1,Silty,NPK 10-26-26
Wheat,39,24,22,5.5,Sandy,NPK 10-26-26
Cotton,43,21,47,7.2,Clayey,NPK 10-26-26
Cotton,43,34,39,7.2,Loamy,NPK 10-26-26
Maize,54,36,35,5.1,Sandy,NPK 10-26-26
Wheat,30,25,19,5.2,Sandy,NPK 10-26-26
Sugarcane,85,46,62,7.7,Silty,DAP
Rice,52,32,10,6.8,Loamy,Urea
Maize,61,40,23,5.4,Loamy,NPK 10-26-26
Cotton,52,28,33,6.3,Clayey,NPK 10-26-26
Wheat,44,37,26,8.0,Loamy,NPK 10-26-26
Wheat,20,10,25,5.8,Clayey,NPK 15-15-15
Cotton,43,20,38,7.1,Clayey,NPK 10-26-26
Wheat,42,23,26,7.4,Silty,NPK 10-26-26
Wheat,42,26,12,4.9,Sandy,NPK 20-20-0
Rice,33,30,19,5.2,Loamy,NPK 10-26-26
Sugarcane,94,46,75,7.1,Sandy,DAP
Maize,61,30,22,5.8,Sandy,NPK 10-26-26
Cotton,50,27,37,6.4,Sandy,NPK 10-26-26
Wheat,21,33,28,7.3,Sandy,NPK 10-26-26
Wheat,48,37,21,5.4,Loamy,NPK 10-26-26
Wheat,21,13,17,7.8,Clayey,NPK 15-15-15
Cotton,42,35,35,7.5,Sandy,NPK 10-26-26
Maize,73,49,24,7.7,Silty,DAP
Maize,80,38,27,6.6,Silty,NPK 10-26-26
Rice,42,33,18,7.2,Silty,NPK 10-26-26
Sugarcane,89,50,74,7.7,Silty,DAP
Maize,58,34,21,7.4,Silty,NPK 10-26-26
Rice,51,28,21,6.0,Clayey,NPK 10-26-26
Maize,64,33,20,7.9,Silty,NPK 10-26-26
Sugarcane,82,46,72,6.4,Clayey,DAP
Rice,36,35,25,5.6,Sandy,NPK 10-26-26
Wheat,36,18,15,8.1,Clayey,NPK 15-15-15
Cotton,40,25,36,5.5,Silty,NPK 10-26-26
Maize,80,42,20,7.8,Silty,DAP
Sugarcane,94,60,72,7.8,Clayey,DAP
Sugarcane,86,42,94,8.2,Loamy,NPK 10-26-26
Sugarcane,91,47,70,8.1,Sandy,DAP
Wheat,40,37,24,8.0,Clayey,NPK 10-26-26
Maize,56,41,22,6.2,Sandy,DAP
Rice,44,40,15,6.2,Silty,DAP
Cotton,43,34,37,5.3,Clayey,NPK 10-26-26
Sugarcane,99,58,78,8.3,Sandy,DAP
Maize,51,50,38,6.7,Clayey,DAP
Wheat,35,11,23,4.8,Silty,NPK 15-15-15
Wheat,43,33,28,8.4,Sandy,NPK 10-26-26
Maize,72,43,21,6.6,Loamy,DAP
Maize,79,46,40,7.9,Clayey,DAP
Sugarcane,101,54,85,6.8,Sandy,DAP
Sugarcane,95,59,62,7.9,Silty,DAP
Rice,41,37,28,6.7,Loamy,NPK 10-26-26
Sugarcane,120,49,72,6.7,Clayey,DAP
Sugarcane,94,57,79,6.9,Sandy,DAP
Cotton,57,21,39,7.0,Clayey,NPK 10-26-26
Sugarcane,110,50,93,7.7,Loamy,DAP
Wheat,32,33,29,5.3,Sandy,NPK 10-26-26
Maize,73,37,33,7.7,Sandy,NPK 10-26-26
Cotton,61,22,32,7.3,Sandy,NPK 10-26-26
Sugarcane,115,60,60,5.7,Silty,DAP
Cotton,60,34,47,5.4,Sandy,NPK 10-26-26
Rice,53,37,22,6.5,Loamy,NPK 10-26-26
Maize,62,30,20,7.7,Clayey,NPK 10-26-26
Wheat,21,15,23,7.9,Silty,NPK 15-15-15
Maize,52,37,36,6.9,Sandy,NPK 10-26-26
Wheat,50,20,17,8.0,Sandy,Urea
Sugarcane,88,46,95,6.0,Loamy,DAP
Cotton,52,22,38,7.3,Loamy,NPK 10-26-26
Rice,45,37,15,6.9,Clayey,DAP
Rice,48,39,20,5.4,Sandy,DAP
Wheat,22,40,18,8.4,Clayey,DAP
Wheat,28,23,18,5.6,Loamy,NPK 15-15-15
Maize,63,30,29,7.5,Loamy,NPK 10-26-26
Cotton,48,30,45,5.8,Loamy,NPK 10-26-26
Wheat,38,18,28,7.1,Loamy,NPK 10-26-26
Cotton,67,36,36,5.2,Clayey,NPK 10-26-26
Rice,42,22,27,7.6,Loamy,NPK 10-26-26
Sugarcane,97,45,63,7.8,Silty,DAP
Wheat,31,13,19,7.3,Sandy,NPK 15-15-15
Cotton,49,33,49,5.8,Loamy,NPK 10-26-26
Rice,42,34,17,7.5,Sandy,NPK 15-15-15
Cotton,69,28,43,5.4,Silty,NPK 10-26-26
Cotton,55,40,48,6.5,Sandy,NPK 10-26-26
Sugarcane,97,40,76,7.7,Sandy,NPK 10-26-26
Sugarcane,115,49,97,5.8,Silty,DAP
Sugarcane,89,58,91,8.0,Sandy,DAP
Cotton,45,34,47,7.6,Sandy,NPK 10-26-26
Sugarcane,116,43,89,6.8,Clayey,NPK 10-26-26
Rice,37,32,28,7.4,Clayey,NPK 10-26-26
Rice,44,30,14,7.0,Sandy,NPK 15-15-15
Sugarcane,98,53,60,5.1,Sandy,DAP
Sugarcane,95,50,81,6.4,Silty,DAP
Wheat,42,11,22,8.3,Clayey,Urea
Wheat,36,33,28,6.5,Sandy,NPK 10-26-26
Maize,78,34,25,5.0,Clayey,NPK 10-26-26
Maize,54,41,25,5.7,Clayey,NPK 10-26-26
Maize,50,33,28,6.8,Sandy,NPK 10-26-26
Sugarcane,109,45,80,6.9,Loamy,DAP
Wheat,32,17,20,8.0,Loamy,NPK 15-15-15
Maize,54,31,36,5.2,Loamy,NPK 10-26-26
Maize,50,39,34,6.2,Silty,NPK 10-26-26
Cotton,59,35,41,4.9,Loamy,NPK 10-26-26
Rice,48,29,17,6.7,Clayey,Urea
Wheat,27,15,12,6.4,Clayey,NPK 15-15-15
Wheat,40,16,19,4.9,Loamy,NPK 15-15-15
Cotton,48,34,35,5.3,Silty,NPK 10-26-26
Wheat,45,36,16,4.9,Sandy,NPK 15-15-15
Maize,53,50,29,6.8,Loamy,DAP
Maize,67,48,20,7.9,Silty,DAP
Sugarcane,100,55,82,6.3,Loamy,DAP
Sugarcane,86,54,96,8.3,Loamy,DAP
Maize,76,36,38,7.9,Silty,NPK 10-26-26
Cotton,51,40,42,7.7,Loamy,NPK 10-26-26
Wheat,36,26,24,6.9,Sandy,NPK 10-26-26
Cotton,42,33,50,8.4,Sandy,NPK 10-26-26
Cotton,56,36,32,7.9,Loamy,NPK 10-26-26
Sugarcane,108,51,76,7.8,Loamy,DAP
Maize,56,35,38,4.9,Clayey,NPK 10-26-26
Rice,43,37,28,6.8,Loamy,NPK 10-26-26
Sugarcane,108,46,67,8.3,Sandy,DAP
Rice,35,31,21,6.9,Clayey,NPK 10-26-26
Wheat,41,40,28,5.9,Loamy,NPK 10-26-26
Maize,52,30,31,5.4,Sandy,NPK 10-26-26
Rice,49,36,26,7.9,Loamy,NPK 10-26-26
Rice,49,32,12,5.3,Clayey,Urea
Rice,31,39,19,7.7,Sandy,DAP
Rice,31,31,19,5.3,Sandy,NPK 10-26-26
Sugarcane,94,51,100,7.7,Clayey,DAP
Cotton,45,23,48,8.3,Silty,NPK 10-26-26
Rice,44,34,23,4.5,Sandy,NPK 10-26-26
Sugarcane,88,55,64,4.5,Clayey,DAP
Sugarcane,87,52,69,8.0,Clayey,DAP
Sugarcane,95,53,70,7.7,Clayey,DAP
Rice,43,37,27,5.3,Clayey,NPK 10-26-26
Rice,59,31,20,5.9,Clayey,NPK 10-26-26
Wheat,21,24,27,7.0,Clayey,NPK 10-26-26
Sugarcane,117,54,79,7.2,Clayey,DAP
Cotton,57,30,31,5.1,Silty,NPK 10-26-26
Sugarcane,112,55,90,8.2,Silty,DAP
Cotton,54,32,48,5.6,Clayey,NPK 10-26-26
Cotton,56,40,47,5.4,Silty,NPK 10-26-26
Wheat,46,25,28,6.2,Sandy,NPK 10-26-26
Maize,62,32,28,5.0,Clayey,NPK 10-26-26
Cotton,53,26,40,4.8,Loamy,NPK 10-26-26
Wheat,28,39,14,5.8,Silty,DAP
Cotton,53,33,42,8.3,Sandy,NPK 10-26-26
Cotton,40,39,31,4.6,Sandy,NPK 10-26-26
Sugarcane,103,42,60,8.0,Loamy,NPK 10-26-26
Sugarcane,119,58,80,6.3,Loamy,DAP
Maize,53,35,21,7.8,Clayey,NPK 10-26-26
Cotton,42,39,32,7.9,Loamy,NPK 10-26-26
Maize,77,33,26,6.7,Silty,NPK 10-26-26
Maize,56,30,21,5.9,Clayey,NPK 10-26-26
Sugarcane,117,57,69,7.7,Silty,DAP
Sugarcane,116,57,77,5.3,Loamy,DAP
Cotton,47,20,49,5.0,Silty,NPK 10-26-26
Sugarcane,110,60,79,4.7,Loamy,DAP
Rice,31,32,29,8.3,Sandy,NPK 10-26-26
Wheat,27,32,24,6.2,Loamy,NPK 10-26-26
Wheat,35,26,29,7.0,Loamy,NPK 10-26-26
Wheat,23,16,14,7.2,Silty,NPK 15-15-15
Rice,36,31,10,6.9,Clayey,NPK 20-20-0
Cotton,63,30,35,7.1,Loamy,NPK 10-26-26
Cotton,43,39,47,6.9,Silty,NPK 10-26-26
Rice,50,32,29,6.0,Loamy,NPK 10-26-26
Rice,32,30,14,5.4,Clayey,NPK 15-15-15
Cotton,41,35,48,7.6,Sandy,NPK 10-26-26
Sugarcane,83,57,69,4.6,Silty,DAP
Wheat,49,40,25,6.8,Clayey,NPK 10-26-26
Rice,54,23,25,5.8,Loamy,NPK 10-26-26
Maize,74,38,23,5.8,Clayey,NPK 10-26-26
Wheat,31,40,23,5.9,Clayey,NPK 10-26-26
Wheat,26,40,19,7.5,Clayey,DAP
Sugarcane,115,48,93,5.7,Loamy,DAP
Sugarcane,113,55,77,6.6,Clayey,DAP
Rice,34,34,20,5.1,Sandy,NPK 10-26-26
Rice,54,23,18,8.2,Loamy,Urea
Maize,64,47,24,5.4,Clayey,DAP
Cotton,52,31,32,5.2,Loamy,NPK 10-26-26
Rice,53,33,16,8.2,Loamy,Urea
Wheat,40,33,24,8.0,Silty,NPK 10-26-26
Cotton,42,34,33,5.2,Loamy,NPK 10-26-26
Wheat,26,19,20,4.6,Sandy,NPK 15-15-15
Sugarcane,105,54,60,8.4,Clayey,DAP
Sugarcane,80,50,81,5.6,Loamy,DAP
Sugarcane,82,53,70,7.8,Clayey,DAP
Wheat,48,14,20,6.5,Loamy,Urea
Maize,63,36,28,6.5,Clayey,NPK 10-26-26
Cotton,42,30,37,8.4,Sandy,NPK 10-26-26
Cotton,49,24,35,7.6,Sandy,NPK 10-26-26
Sugarcane,91,44,86,8.4,Clayey,NPK 10-26-26
Rice,42,31,10,5.2,Clayey,NPK 20-20-0
Maize,52,42,28,8.1,Clayey,NPK 10-26-26
Sugarcane,110,49,99,5.7,Sandy,DAP
Wheat,29,17,15,4.6,Sandy,NPK 15-15-15
Sugarcane,110,59,91,6.2,Sandy,DAP
Sugarcane,105,44,63,5.4,Silty,NPK 10-26-26
Maize,69,41,31,4.8,Silty,NPK 10-26-26
Cotton,57,29,34,5.9,Loamy,NPK 10-26-26
Rice,56,23,27,6.7,Clayey,NPK 10-26-26
Rice,52,20,29,5.2,Clayey,NPK 10-26-26
Cotton,45,34,47,8.5,Loamy,NPK 10-26-26
Cotton,53,30,49,7.9,Clayey,NPK 10-26-26
Wheat,26,25,21,6.2,Clayey,NPK 10-26-26
Wheat,32,40,16,6.9,Loamy,DAP
Maize,55,39,33,8.5,Clayey,NPK 10-26-26
Rice,57,38,11,8.3,Silty,DAP
Sugarcane,92,53,74,8.2,Loamy,DAP
Cotton,60,35,33,4.9,Silty,NPK 10-26-26
Cotton,51,27,49,7.6,Sandy,NPK 10-26-26
Wheat,31,34,30,7.4,Sandy,NPK 10-26-26
Maize,56,34,28,5.1,Loamy,NPK 10-26-26
Rice,35,25,27,7.9,Sandy,NPK 10-26-26
Maize,67,37,39,7.8,Sandy,NPK 10-26-26
Rice,54,25,24,4.5,Clayey,NPK 10-26-26
Rice,52,21,17,5.4,Loamy,Urea
Cotton,49,36,49,6.2,Loamy,NPK 10-26-26
Wheat,37,33,18,4.9,Silty,NPK 10-26-26
Maize,80,47,28,7.4,Silty,DAP
Rice,58,35,25,8.2,Loamy,NPK 10-26-26
Maize,65,34,34,4.5,Silty,NPK 10-26-26
Sugarcane,81,60,72,7.4,Clayey,DAP
Maize,61,31,37,6.8,Loamy,NPK 10-26-26
Wheat,42,29,25,6.1,Clayey,NPK 10-26-26
Sugarcane,96,52,79,7.3,Loamy,DAP
Sugarcane,109,52,89,6.6,Clayey,DAP
Maize,75,32,40,7.8,Loamy,NPK 10-26-26
Wheat,48,38,10,7.0,Silty,DAP
Rice,46,40,14,5.5,Silty,DAP
Maize,64,45,26,6.1,Clayey,DAP
Rice,44,39,29,7.2,Sandy,NPK 10-26-26
Cotton,42,25,46,8.1,Sandy,NPK 10-26-26
Wheat,35,32,15,4.9,Loamy,NPK 15-15-15
Sugarcane,111,48,63,7.6,Sandy,DAP
Sugarcane,87,42,99,7.4,Sandy,NPK 10-26-26
Sugarcane,88,47,82,6.4,Loamy,DAP
Wheat,26,35,14,7.3,Silty,NPK 15-15-15
Maize,52,45,30,5.2,Clayey,DAP
Rice,32,36,28,5.2,Clayey,NPK 10-26-26
Wheat,29,24,26,7.5,Loamy,NPK 10-26-26
Rice,53,21,16,5.6,Sandy,Urea
Maize,71,34,40,5.1,Silty,NPK 10-26-26
Cotton,68,25,41,8.0,Sandy,NPK 10-26-26
Wheat,30,32,10,8.1,Sandy,NPK 20-20-0
Maize,55,44,22,7.9,Clayey,DAP
Sugarcane,113,50,68,7.9,Silty,DAP
Cotton,65,22,49,8.0,Loamy,NPK 10-26-26
Maize,62,41,34,6.9,Silty,NPK 10-26-26
Maize,71,49,37,7.8,Clayey,DAP
Cotton,44,24,41,5.6,Clayey,NPK 10-26-26
Maize,76,38,29,7.1,Sandy,NPK 10-26-26
Rice,30,26,23,7.9,Clayey,NPK 10-26-26
Rice,39,34,24,7.7,Clayey,NPK 10-26-26
Wheat,44,40,20,5.9,Clayey,DAP
Cotton,47,26,50,7.4,Silty,NPK 10-26-26
Wheat,23,33,21,7.4,Sandy,NPK 10-26-26
Rice,60,32,21,7.9,Sandy,NPK 10-26-26
Sugarcane,109,51,88,4.8,Loamy,DAP
Sugarcane,110,50,71,8.5,Clayey,DAP
Sugarcane,114,43,89,8.3,Sandy,NPK 10-26-26
Cotton,40,28,50,7.4,Clayey,NPK 10-26-26
Sugarcane,80,52,71,4.5,Loamy,DAP
Sugarcane,115,46,84,7.9,Loamy,DAP
Wheat,31,18,28,5.9,Silty,NPK 10-26-26
Maize,52,48,31,6.7,Silty,DAP
Maize,60,43,29,8.4,Loamy,NPK 10-26-26
Maize,73,44,20,7.9,Loamy,DAP
Maize,69,46,34,6.8,Loamy,DAP
Sugarcane,112,40,75,6.0,Silty,NPK 10-26-26
Sugarcane,81,41,93,6.2,Loamy,NPK 10-26-26
Sugarcane,111,43,82,7.4,Clayey,NPK 10-26-26
Wheat,44,34,20,8.3,Silty,NPK 10-26-26
Sugarcane,109,58,62,5.5,Sandy,DAP
Maize,55,49,32,7.8,Loamy,DAP
Maize,72,34,27,5.4,Sandy,NPK 10-26-26
Cotton,61,25,45,5.6,Clayey,NPK 10-26-26
Wheat,36,15,12,5.0,Loamy,NPK 15-15-15
Wheat,27,27,11,8.3,Clayey,NPK 20-20-0
Rice,52,36,19,5.7,Clayey,NPK 10-26-26
Maize,72,48,20,7.3,Clayey,DAP
Rice,52,36,26,6.5,Clayey,NPK 10-26-26
Maize,57,45,36,8.3,Sandy,DAP
Wheat,23,40,28,7.9,Sandy,NPK 10-26-26
Sugarcane,83,52,99,5.6,Sandy,DAP
Rice,56,40,14,4.9,Sandy,DAP
Maize,61,50,30,6.4,Clayey,DAP
Maize,55,31,31,8.2,Loamy,NPK 10-26-26
Cotton,61,20,35,8.3,Silty,NPK 10-26-26
Rice,46,24,30,6.3,Clayey,NPK 10-26-26
Cotton,61,40,39,8.1,Clayey,NPK 10-26-26
Wheat,25,11,21,5.6,Sandy,NPK 15-15-15
Maize,68,42,27,4.7,Clayey,NPK 10-26-26
Wheat,33,19,25,6.9,Loamy,NPK 10-26-26
Sugarcane,87,53,97,7.7,Sandy,DAP
Cotton,65,31,32,5.7,Sandy,NPK 10-26-26
Maize,79,33,23,7.7,Clayey,NPK 10-26-26
Rice,30,39,28,5.0,Sandy,NPK 10-26-26
Wheat,22,15,13,5.7,Loamy,NPK 15-15-15
Cotton,45,22,48,6.7,Sandy,NPK 10-26-26
Rice,51,29,11,5.3,Clayey,Urea
Wheat,28,15,30,8.2,Sandy,NPK 15-15-15
Cotton,59,28,34,7.7,Sandy,NPK 10-26-26
Cotton,42,40,46,8.4,Silty,NPK 10-26-26
Sugarcane,83,56,100,7.0,Loamy,DAP
Rice,34,24,10,8.3,Sandy,NPK 20-20-0
Wheat,29,19,25,5.2,Silty,NPK 10-26-26
Maize,71,47,32,7.5,Loamy,DAP
Wheat,31,22,25,5.2,Clayey,NPK 10-26-26
Wheat,34,26,30,6.0,Sandy,NPK 10-26-26
Rice,35,34,10,6.4,Sandy,DAP
Cotton,42,36,37,6.5,Sandy,NPK 10-26-26
Maize,59,36,23,8.4,Clayey,NPK 10-26-26
Rice,30,34,16,8.3,Loamy,NPK 15-15-15
Wheat,48,10,21,8.1,Sandy,Urea
Sugarcane,91,42,65,6.3,Loamy,NPK 10-26-26
Cotton,69,40,33,6.5,Silty,NPK 10-26-26
Cotton,48,27,46,7.9,Silty,NPK 10-26-26
Wheat,43,34,26,8.0,Sandy,NPK 10-26-26
Rice,34,23,19,5.1,Loamy,NPK 15-15-15
Wheat,37,29,28,6.2,Clayey,NPK 10-26-26
Cotton,66,35,50,7.0,Silty,NPK 10-26-26
Maize,70,41,33,4.7,Loamy,NPK 10-26-26
Maize,54,33,32,4.5,Clayey,NPK 10-26-26
Rice,45,34,22,7.0,Clayey,NPK 10-26-26
Rice,31,21,30,8.5,Clayey,NPK 10-26-26
Cotton,64,22,40,4.7,Sandy,NPK 10-26-26
Wheat,38,21,26,4.9,Silty,NPK 10-26-26
Wheat,50,36,16,7.7,Sandy,Urea
Sugarcane,114,47,85,8.2,Silty,DAP
Sugarcane,90,55,93,7.7,Loamy,DAP
Maize,62,38,27,6.7,Loamy,NPK 10-26-26
Cotton,44,20,41,4.6,Silty,NPK 10-26-26
Wheat,47,31,29,5.2,Silty,NPK 10-26-26
Maize,64,32,38,7.4,Silty,NPK 10-26-26
Maize,80,41,26,5.5,Loamy,NPK 10-26-26
Sugarcane,96,57,88,6.5,Sandy,DAP
Rice,45,24,22,6.2,Clayey,NPK 10-26-26
Cotton,62,22,41,7.2,Clayey,NPK 10-26-26
Sugarcane,114,43,92,7.7,Loamy,NPK 10-26-26
Maize,76,49,20,6.9,Clayey,DAP
Rice,52,39,30,8.3,Clayey,NPK 10-26-26
Rice,38,20,15,5.5,Clayey,NPK 15-15-15
Maize,54,47,24,6.1,Loamy,DAP
Rice,50,31,11,5.4,Clayey,Urea
Cotton,64,28,37,7.6,Loamy,NPK 10-26-26
Cotton,47,34,48,6.5,Silty,NPK 10-26-26
Cotton,69,31,37,8.2,Loamy,NPK 10-26-26
Rice,58,31,27,5.9,Sandy,NPK 10-26-26
Wheat,49,34,15,4.5,Silty,Urea
Rice,36,39,17,7.8,Sandy,DAP
Sugarcane,95,59,93,8.0,Sandy,DAP
Cotton,57,21,43,5.3,Silty,NPK 10-26-26
Rice,43,21,16,6.5,Loamy,NPK 15-15-15
Maize,74,46,21,8.2,Clayey,DAP
Maize,78,46,23,8.1,Silty,DAP
Rice,47,24,10,8.4,Sandy,Urea
Maize,50,40,20,7.7,Loamy,DAP
Wheat,27,15,15,4.6,Sandy,NPK 15-15-15
Maize,71,31,35,7.7,Clayey,NPK 10-26-26
Maize,69,43,36,7.3,Sandy,NPK 10-26-26
Sugarcane,106,44,69,7.7,Silty,NPK 10-26-26
Wheat,31,36,28,7.0,Loamy,NPK 10-26-26
Rice,53,37,13,5.7,Clayey,Urea
Rice,42,23,22,7.6,Silty,NPK 10-26-26
Maize,80,43,40,7.8,Sandy,NPK 10-26-26
Sugarcane,92,51,97,4.6,Loamy,DAP
Wheat,25,19,12,6.7,Loamy,NPK 15-15-15
Wheat,35,17,28,6.8,Clayey,NPK 15-15-15
Maize,76,50,25,5.4,Silty,DAP
Cotton,69,22,30,4.9,Silty,NPK 10-26-26
Cotton,61,32,42,5.5,Clayey,NPK 10-26-26
Wheat,24,37,13,8.1,Silty,DAP
Cotton,58,26,41,5.4,Loamy,NPK 10-26-26
Sugarcane,120,45,76,4.6,Clayey,DAP
Sugarcane,108,56,99,5.1,Clayey,DAP
Sugarcane,85,47,65,7.8,Loamy,DAP
Cotton,48,28,32,5.2,Loamy,NPK 10-26-26
Rice,43,40,28,6.3,Sandy,NPK 10-26-26
Rice,34,35,12,6.1,Silty,DAP
Sugarcane,102,41,79,8.5,Silty,NPK 10-26-26
Sugarcane,93,40,84,4.6,Silty,NPK 10-26-26
Wheat,23,37,20,4.6,Clayey,NPK 10-26-26
Sugarcane,88,57,71,7.5,Loamy,DAP
Wheat,20,37,16,8.4,Loamy,DAP
Cotton,56,22,34,8.2,Silty,NPK 10-26-26
Wheat,36,13,13,5.9,Clayey,NPK 15-15-15
Maize,66,42,26,5.6,Sandy,NPK 10-26-26
Wheat,26,18,23,8.0,Clayey,NPK 15-15-15
Rice,51,39,12,8.5,Loamy,DAP
Sugarcane,103,52,80,8.4,Clayey,DAP
Sugarcane,103,43,88,5.4,Loamy,NPK 10-26-26
Wheat,38,17,19,8.4,Sandy,NPK 15-15-15
Maize,70,46,26,6.7,Loamy,DAP
Wheat,37,14,17,8.0,Loamy,NPK 15-15-15
Cotton,55,38,44,4.6,Silty,NPK 10-26-26
Cotton,42,28,43,5.3,Loamy,NPK 10-26-26
Cotton,68,24,42,6.6,Silty,NPK 10-26-26
Maize,76,43,36,8.3,Silty,NPK 10-26-26
Cotton,59,36,43,5.5,Clayey,NPK 10-26-26
Maize,57,30,40,8.2,Clayey,NPK 10-26-26
Sugarcane,97,40,61,6.4,Clayey,NPK 10-26-26
Cotton,55,37,39,5.8,Sandy,NPK 10-26-26
Maize,71,41,32,5.5,Sandy,NPK 10-26-26
Cotton,68,35,40,8.2,Loamy,NPK 10-26-26
Wheat,46,19,13,6.4,Loamy,Urea
Maize,51,36,30,4.7,Clayey,NPK 10-26-26
Cotton,56,27,31,5.1,Loamy,NPK 10-26-26
Maize,61,44,23,8.0,Loamy,DAP
Wheat,30,36,20,4.8,Sandy,NPK 10-26-26
Sugarcane,100,55,68,5.8,Sandy,DAP
Sugarcane,116,59,98,5.4,Clayey,DAP
Cotton,56,28,46,5.8,Silty,NPK 10-26-26
Maize,65,32,20,6.2,Silty,NPK 10-26-26
Rice,51,30,30,5.6,Clayey,NPK 10-26-26
Rice,50,34,19,6.7,Clayey,NPK 10-26-26
Cotton,47,31,31,7.3,Sandy,NPK 10-26-26
Wheat,42,34,24,7.6,Clayey,NPK 10-26-26
Rice,59,30,19,5.7,Loamy,NPK 10-26-26
Cotton,46,22,30,6.7,Silty,NPK 10-26-26
Maize,67,38,35,5.8,Silty,NPK 10-26-26
Maize,64,33,31,8.3,Clayey,NPK 10-26-26
Wheat,23,27,15,5.0,Silty,NPK 15-15-15
Sugarcane,96,48,65,8.0,Sandy,DAP
Maize,73,45,38,6.2,Loamy,DAP
Cotton,48,33,45,7.1,Loamy,NPK 10-26-26
Rice,59,20,10,5.6,Silty,Urea
Maize,62,33,37,5.0,Loamy,NPK 10-26-26
Maize,73,38,30,6.2,Clayey,NPK 10-26-26
Wheat,26,17,10,6.5,Loamy,NPK 15-15-15
Rice,52,21,15,8.2,Clayey,Urea
Sugarcane,93,50,81,5.9,Loamy,DAP
Wheat,20,16,27,6.8,Sandy,NPK 15-15-15
Cotton,67,35,43,6.7,Loamy,NPK 10-26-26
Wheat,29,10,24,5.8,Loamy,NPK 15-15-15
Wheat,45,13,11,6.6,Silty,Urea
Cotton,41,40,45,6.8,Sandy,NPK 10-26-26
Sugarcane,105,50,80,4.7,Silty,DAP
Sugarcane,109,57,81,7.7,Silty,DAP
Wheat,28,17,18,8.3,Sandy,NPK 15-15-15
Rice,41,31,15,7.4,Clayey,NPK 15-15-15
Sugarcane,99,42,61,8.4,Clayey,NPK 10-26-26
Wheat,43,35,21,5.4,Silty,NPK 10-26-26
Maize,65,31,36,8.1,Sandy,NPK 10-26-26
Sugarcane,91,60,72,7.9,Clayey,DAP
Cotton,52,34,37,6.5,Clayey,NPK 10-26-26
Cotton,65,40,39,5.5,Clayey,NPK 10-26-26
Rice,37,33,16,8.3,Loamy,NPK 15-15-15
Sugarcane,114,51,95,8.2,Clayey,DAP
Maize,62,48,39,5.7,Silty,DAP
Cotton,70,29,43,5.5,Loamy,NPK 10-26-26
Rice,40,34,14,7.3,Clayey,NPK 15-15-15
Maize,70,34,29,6.5,Loamy,NPK 10-26-26
Sugarcane,103,50,99,7.4,Clayey,DAP
