Nitrogen (N),Phosphorus (P),Potassium (K),Carbon Emissions (kg),Water Pollution Risk (%),Soil Degradation (Index),Crop Type
26,21,17,3.99,22.2,1.2,Cotton
15,22,6,2.72,19.6,1.7,Cotton
13,20,29,2.88,13.9,3.5,Rice
32,8,16,3.92,17.5,2.2,Maize
18,29,27,3.79,19.2,4.3,Wheat
21,14,30,3.4,14.3,2.3,Wheat
25,8,39,3.68,15.9,3.1,Rice
48,25,31,6.67,25.9,2.6,Cotton
17,22,32,3.44,18.4,3.1,Maize
15,27,24,3.33,19.2,2.2,Soybean
48,10,32,5.94,21.9,1.9,Cotton
45,30,24,6.48,18.1,5.0,Rice
35,14,34,4.88,19.8,2.7,Wheat
50,14,17,6.04,23.4,2.6,Soybean
45,8,40,5.7,22.0,3.6,Maize
31,23,36,4.97,19.5,4.9,Wheat
42,24,38,6.16,16.7,3.5,Rice
41,9,23,5.01,16.3,4.2,Cotton
11,7,9,1.63,14.3,2.0,Rice
22,12,7,2.94,11.6,1.4,Cotton
21,11,20,3.05,10.5,1.5,Rice
42,23,28,5.91,25.6,3.5,Cotton
30,24,18,4.56,14.3,2.5,Cotton
38,7,25,4.65,15.8,3.5,Maize
42,29,11,5.87,25.4,2.2,Soybean
16,14,11,2.52,14.3,1.3,Rice
27,11,16,3.57,11.7,4.7,Soybean
39,25,36,5.87,23.7,3.7,Maize
28,15,8,3.71,20.7,3.8,Maize
24,14,13,3.36,12.7,1.0,Maize
12,28,30,3.2,13.9,4.6,Maize
35,8,8,4.06,15.2,1.3,Rice
20,19,28,3.51,13.3,1.6,Wheat
46,24,24,6.28,20.6,2.9,Soybean
19,8,9,2.48,11.7,4.9,Cotton
13,7,32,2.29,9.7,3.2,Soybean
49,12,18,5.86,22.5,1.0,Maize
12,10,20,2.1,17.8,4.0,Wheat
50,8,15,5.7,20.8,4.1,Wheat
14,30,29,3.48,16.5,3.5,Rice
16,17,35,3.15,13.7,2.7,Cotton
31,12,24,4.18,18.8,2.4,Soybean
47,27,9,6.23,23.6,4.9,Wheat
25,12,9,3.28,14.9,1.8,Rice
40,17,39,5.63,20.7,4.0,Wheat
36,21,31,5.27,15.7,4.5,Maize
30,5,12,3.49,18.4,4.4,Cotton
16,5,39,2.63,16.0,2.1,Wheat
20,30,6,3.62,19.2,4.9,Rice
20,15,11,2.97,17.9,3.3,Soybean
21,12,31,3.32,20.0,4.9,Soybean
14,18,19,2.68,15.2,4.8,Cotton
33,18,11,4.42,16.8,2.0,Soybean
27,23,16,4.17,17.5,4.3,Maize
43,8,9,4.88,15.1,2.0,Wheat
26,18,19,3.88,19.0,2.7,Maize
10,15,37,2.49,17.0,4.9,Cotton
16,16,11,2.62,10.7,1.6,Rice
17,29,26,3.67,17.0,4.0,Rice
13,18,40,3.0,18.6,4.8,Cotton
47,20,30,6.3,19.5,4.9,Maize
22,20,31,3.82,17.5,4.0,Wheat
29,8,16,3.62,12.2,4.7,Maize
30,17,7,3.99,17.9,3.5,Wheat
23,10,12,3.04,15.7,3.3,Wheat
21,16,30,3.5,12.2,3.5,Maize
42,16,8,5.16,24.8,1.7,Cotton
21,17,20,3.35,13.9,4.1,Soybean
10,17,38,2.61,9.6,1.9,Maize
28,11,10,3.55,19.8,1.9,Soybean
24,30,34,4.58,15.4,1.9,Cotton
41,5,30,4.95,17.7,4.8,Cotton
14,17,17,2.59,11.0,2.0,Cotton
35,30,27,5.54,21.9,3.6,Maize
44,10,32,5.54,18.0,3.4,Cotton
46,8,39,5.78,18.0,4.3,Cotton
14,30,5,3.0,17.5,2.2,Cotton
11,26,40,3.2,18.0,2.5,Wheat
32,12,6,3.92,13.2,3.5,Soybean
50,13,11,5.87,21.9,4.3,Cotton
10,24,10,2.4,13.1,3.0,Cotton
15,28,13,3.16,18.8,4.2,Maize
25,5,28,3.31,17.1,1.3,Maize
44,19,24,5.83,17.0,2.6,Soybean
18,26,17,3.44,12.9,1.5,Soybean
32,21,8,4.41,21.6,1.9,Wheat
27,19,36,4.37,18.3,2.6,Wheat
21,7,21,2.87,16.1,1.2,Maize
38,12,25,4.9,18.7,1.2,Maize
40,23,11,5.37,22.1,4.8,Rice
31,23,37,4.99,16.3,1.2,Rice
32,17,22,4.49,22.1,4.4,Soybean
23,23,17,3.79,19.5,4.9,Maize
11,6,25,1.9,11.9,3.7,Soybean
11,27,37,3.19,16.4,4.2,Soybean
34,24,7,4.74,21.1,1.5,Wheat
38,28,19,5.58,23.4,3.5,Cotton
41,24,8,5.46,23.5,3.7,Rice
27,30,21,4.62,20.6,4.0,Cotton
19,15,14,2.93,19.7,1.8,Maize
44,6,27,5.24,20.5,3.5,Wheat
49,24,31,6.72,20.7,2.5,Soybean
46,21,8,5.81,21.8,1.9,Soybean
17,22,7,2.94,15.7,2.7,Rice
24,30,33,4.56,17.2,4.6,Rice
15,22,10,2.8,19.6,3.1,Maize
42,27,10,5.75,25.6,1.7,Maize
17,21,12,2.99,12.4,2.6,Maize
46,5,22,5.29,20.9,3.1,Wheat
36,8,23,4.46,14.4,2.4,Rice
36,19,16,4.87,20.4,3.0,Wheat
33,21,23,4.81,16.6,3.6,Soybean
40,29,37,6.19,21.3,4.7,Rice
24,14,23,3.56,15.5,2.2,Maize
32,8,26,4.12,16.4,1.9,Rice
43,22,6,5.52,18.1,4.5,Cotton
38,12,33,5.06,23.5,4.7,Wheat
45,29,23,6.41,24.1,2.3,Cotton
12,17,15,2.35,13.1,1.6,Soybean
41,27,16,5.77,25.2,1.9,Maize
10,11,32,2.19,8.3,4.9,Rice
35,17,22,4.79,17.9,1.7,Soybean
41,21,32,5.79,23.1,3.5,Soybean
15,14,24,2.68,16.0,4.0,Rice
41,17,32,5.59,23.3,4.2,Wheat
34,12,30,4.6,16.7,2.6,Cotton
14,22,10,2.7,12.4,4.5,Maize
10,24,5,2.3,15.5,4.2,Wheat
31,28,15,4.8,16.1,5.0,Rice
23,25,21,3.97,15.8,1.6,Cotton
35,7,34,4.53,20.1,2.0,Maize
23,12,6,3.02,12.6,2.6,Cotton
17,10,38,2.96,9.5,2.2,Cotton
34,26,29,5.28,15.3,3.0,Wheat
23,15,24,3.53,12.2,3.5,Maize
33,26,27,5.14,14.3,4.8,Soybean
45,14,15,5.5,23.6,2.6,Soybean
38,23,13,5.21,20.7,3.7,Soybean
16,11,35,2.85,18.2,4.1,Rice
36,6,10,4.1,17.5,2.2,Rice
12,23,28,2.91,13.2,3.1,Wheat
50,19,14,6.23,18.7,2.9,Cotton
38,7,39,4.93,17.4,4.5,Soybean
19,11,18,2.81,14.9,2.2,Wheat
17,25,13,3.21,13.9,1.4,Wheat
34,15,22,4.59,21.6,3.8,Cotton
44,14,36,5.82,17.5,1.2,Soybean
19,20,31,3.52,13.1,5.0,Rice
10,19,27,2.49,9.5,4.3,Cotton
13,24,11,2.72,15.3,2.9,Wheat
20,20,15,3.3,13.9,1.3,Wheat
12,24,32,3.04,10.6,2.9,Wheat
43,26,29,6.18,23.6,3.8,Maize
20,13,23,3.11,19.5,3.2,Rice
44,5,10,4.85,15.2,3.9,Rice
33,5,24,4.03,14.0,2.5,Maize
14,26,16,3.02,11.5,1.7,Wheat
30,24,28,4.76,18.5,4.1,Soybean
17,17,9,2.73,10.3,1.4,Soybean
37,10,7,4.34,14.8,2.1,Cotton
16,9,8,2.21,12.1,2.4,Maize
36,22,36,5.42,16.1,4.3,Maize
38,8,7,4.34,16.0,1.5,Soybean
21,13,24,3.23,11.8,4.8,Wheat
16,9,26,2.57,13.5,3.7,Maize
14,12,33,2.66,15.5,1.1,Soybean
19,18,19,3.18,20.6,3.9,Maize
40,24,34,5.88,20.0,2.7,Cotton
17,5,22,2.39,9.6,1.4,Wheat
24,11,5,3.05,15.5,1.7,Soybean
46,26,38,6.66,26.7,4.3,Soybean
33,25,35,5.25,20.6,4.0,Rice
11,14,12,2.04,11.4,3.5,Wheat
28,29,15,4.55,23.4,1.4,Cotton
15,23,34,3.33,17.0,2.1,Maize
40,24,24,5.68,22.9,3.5,Wheat
30,19,24,4.43,13.3,3.8,Cotton
24,23,8,3.71,20.0,4.5,Rice
37,20,25,5.2,19.9,5.0,Soybean
16,13,30,2.85,13.7,1.1,Wheat
11,19,37,2.79,15.0,3.3,Wheat
10,28,11,2.62,10.3,4.1,Wheat
37,5,13,4.21,18.4,4.1,Cotton
12,14,25,2.4,17.4,2.8,Rice
49,24,18,6.46,18.7,3.5,Cotton
27,13,32,3.99,13.4,3.6,Rice
31,13,25,4.25,22.3,3.8,Wheat
17,12,14,2.58,9.6,3.3,Wheat
10,9,28,2.01,11.3,2.7,Soybean
11,11,22,2.09,8.8,3.9,Cotton
34,29,25,5.35,16.7,3.6,Maize
49,7,33,5.91,21.1,2.1,Soybean
38,15,18,4.91,16.6,1.1,Maize
11,13,22,2.19,16.7,3.8,Maize
25,16,24,3.78,20.6,4.4,Maize
28,19,34,4.43,13.0,3.0,Cotton
36,19,15,4.85,17.8,3.3,Maize
29,30,11,4.62,22.1,1.4,Wheat
36,16,34,5.08,14.7,3.5,Soybean
50,25,21,6.67,23.4,3.0,Wheat
23,25,34,4.23,14.3,1.3,Wheat
36,14,20,4.7,15.1,1.1,Wheat
28,23,6,4.07,15.4,1.6,Maize
11,10,19,1.98,17.7,4.6,Cotton
41,23,17,5.59,17.7,2.9,Soybean
22,14,20,3.3,11.5,1.6,Rice
33,29,9,4.93,17.0,2.7,Cotton
25,6,11,3.02,18.3,3.8,Rice
40,27,24,5.83,17.0,3.9,Cotton
32,30,26,5.22,22.1,4.8,Soybean
36,11,27,4.69,22.7,2.8,Soybean
30,6,32,3.94,12.7,2.0,Rice
11,26,5,2.5,12.3,1.6,Wheat
48,22,23,6.36,24.2,2.5,Rice
12,20,26,2.72,12.7,4.6,Rice
32,17,36,4.77,14.1,1.4,Cotton
34,25,28,5.21,17.9,4.0,Wheat
18,23,8,3.11,14.5,4.2,Cotton
23,6,17,2.94,14.1,4.0,Wheat
17,13,33,3.01,15.9,4.3,Cotton
43,13,18,5.31,16.0,1.6,Maize
38,8,28,4.76,15.8,3.7,Cotton
49,24,32,6.74,25.5,1.0,Maize
33,24,9,4.68,22.5,3.6,Soybean
44,25,40,6.45,21.8,1.7,Soybean
11,15,13,2.11,16.5,3.5,Rice
13,25,25,3.05,14.0,2.4,Soybean
18,22,12,3.14,15.0,4.9,Cotton
27,11,40,4.05,15.7,1.7,Wheat
24,27,10,3.95,16.4,1.6,Wheat
35,11,10,4.25,15.0,2.3,Cotton
42,14,17,5.24,17.3,3.1,Maize
48,19,30,6.35,21.2,4.1,Cotton
50,6,22,5.74,20.8,2.9,Rice
15,26,6,2.92,16.7,2.3,Cotton
49,8,32,5.94,18.7,1.2,Maize
47,28,16,6.42,19.0,4.5,Wheat
22,6,22,2.94,14.3,4.8,Wheat
45,22,15,5.9,25.6,3.0,Rice
17,17,35,3.25,16.4,2.7,Cotton
26,21,22,4.09,13.7,2.3,Wheat
30,22,21,4.52,16.8,3.6,Cotton
40,20,34,5.68,19.3,2.2,Cotton
47,11,15,5.55,19.1,1.4,Cotton
33,11,37,4.59,22.4,1.5,Soybean
41,29,6,5.67,24.5,3.0,Wheat
37,24,35,5.6,19.6,3.0,Maize
16,24,9,2.98,10.9,2.7,Soybean
43,8,8,4.86,18.0,4.2,Rice
10,24,20,2.6,12.0,2.5,Wheat
20,11,31,3.17,15.9,2.2,Rice
14,27,36,3.47,13.7,2.0,Rice
13,21,13,2.61,10.6,1.5,Soybean
41,11,32,5.29,20.0,3.3,Soybean
47,27,23,6.51,26.3,2.6,Cotton
18,9,7,2.39,10.7,2.7,Wheat
48,21,13,6.11,18.3,4.1,Soybean
49,27,40,7.05,21.4,4.7,Soybean
34,16,8,4.36,21.7,1.0,Wheat
29,6,32,3.84,19.0,4.8,Soybean
34,12,5,4.1,17.2,1.0,Maize
33,5,26,4.07,15.7,4.5,Maize
31,10,29,4.18,16.8,3.7,Rice
14,14,8,2.26,18.7,1.5,Soybean
23,15,37,3.79,19.2,2.6,Rice
19,17,13,3.01,18.4,4.2,Maize
41,20,9,5.28,15.9,3.8,Rice
17,11,17,2.59,10.2,4.4,Rice
23,12,38,3.66,14.4,2.8,Maize
50,11,12,5.79,19.8,3.4,Cotton
22,22,8,3.46,17.4,3.1,Wheat
40,6,29,4.88,21.7,4.4,Maize
10,8,38,2.16,8.8,2.8,Wheat
24,29,37,4.59,22.3,4.8,Rice
45,27,37,6.59,23.4,3.4,Wheat
33,11,5,3.95,15.4,3.0,Cotton
45,12,10,5.3,16.9,1.7,Maize
22,14,26,3.42,16.8,4.6,Maize
25,29,5,4.05,15.7,2.2,Wheat
24,8,7,2.94,19.6,2.2,Maize
24,17,21,3.67,16.2,2.6,Rice
17,17,6,2.67,14.0,3.9,Cotton
29,18,31,4.42,18.6,2.5,Rice
19,21,30,3.55,19.3,4.0,Cotton
29,22,40,4.8,18.2,2.7,Rice
32,26,8,4.66,15.4,2.5,Cotton
36,26,15,5.2,21.9,4.9,Maize
25,14,7,3.34,17.3,4.6,Maize
47,15,11,5.67,17.1,3.4,Cotton
17,13,28,2.91,13.8,4.1,Wheat
29,10,17,3.74,19.6,4.2,Wheat
12,26,34,3.18,18.2,4.2,Rice
36,28,21,5.42,19.0,2.9,Cotton
34,8,25,4.3,13.0,1.6,Cotton
42,28,21,6.02,18.2,1.0,Rice
34,12,13,4.26,18.2,3.3,Wheat
17,27,29,3.63,20.0,2.9,Soybean
22,27,33,4.21,14.4,1.9,Rice
26,26,26,4.42,13.0,4.7,Rice
47,27,6,6.17,20.3,3.4,Soybean
16,25,10,3.05,17.7,3.6,Rice
45,29,31,6.57,20.5,4.2,Cotton
40,16,28,5.36,23.0,2.5,Cotton
10,16,7,1.94,11.3,3.8,Wheat
18,18,35,3.4,11.1,1.6,Rice
46,15,14,5.63,19.0,2.5,Maize
15,28,29,3.48,20.5,4.7,Wheat
20,6,20,2.7,18.4,1.5,Wheat
41,27,10,5.65,17.7,4.0,Cotton
34,13,24,4.53,16.1,3.6,Maize
14,25,33,3.31,15.5,3.4,Maize
44,27,27,6.29,20.3,2.9,Soybean
39,19,29,5.43,16.1,4.5,Soybean
15,13,37,2.89,10.4,4.5,Cotton
13,13,19,2.33,12.2,4.4,Cotton
35,12,15,4.4,17.9,3.0,Maize
37,18,5,4.7,22.3,1.5,Maize
35,24,33,5.36,15.5,2.5,Rice
42,15,32,5.59,22.1,2.8,Rice
33,27,16,4.97,16.1,2.1,Rice
46,26,18,6.26,22.2,4.5,Wheat
29,23,28,4.61,14.3,4.3,Rice
44,8,5,4.9,23.4,1.6,Cotton
26,28,37,4.74,18.7,1.7,Rice
21,19,6,3.17,17.4,3.7,Wheat
24,25,39,4.43,16.7,3.5,Wheat
21,6,19,2.78,11.7,4.3,Wheat
42,18,33,5.76,23.3,1.3,Rice
10,19,21,2.37,18.0,3.9,Cotton
16,11,26,2.67,12.7,2.9,Soybean
18,17,23,3.11,15.1,4.1,Rice
25,10,23,3.46,12.2,4.4,Soybean
43,7,25,5.15,20.6,2.5,Rice
44,16,30,5.8,16.3,4.5,Wheat
26,23,7,3.89,19.2,1.5,Rice
44,30,9,6.08,25.6,2.2,Rice
38,15,16,4.87,15.3,4.5,Soybean
30,26,8,4.46,17.0,4.3,Maize
16,18,17,2.84,14.5,3.0,Wheat
25,8,36,3.62,17.5,3.0,Wheat
46,15,15,5.65,20.1,4.4,Wheat
29,25,18,4.51,14.2,3.9,Rice
37,30,29,5.78,18.7,2.9,Wheat
28,26,14,4.38,14.9,4.8,Wheat
32,19,17,4.49,14.4,1.4,Wheat
49,15,5,5.75,24.9,4.3,Wheat
11,9,36,2.27,10.4,1.4,Soybean
50,6,31,5.92,18.0,2.5,Cotton
31,12,18,4.06,14.4,1.8,Maize
39,14,6,4.72,24.2,3.3,Maize
45,10,38,5.76,22.1,2.9,Rice
42,28,23,6.06,25.6,2.4,Cotton
32,10,38,4.46,21.7,1.0,Maize
20,25,22,3.69,20.7,3.2,Rice
23,20,40,4.1,16.3,2.4,Soybean
33,15,13,4.31,17.9,1.6,Cotton
28,21,24,4.33,15.9,1.6,Maize
12,20,9,2.38,18.5,1.0,Wheat
33,18,40,5.0,14.1,1.2,Wheat
31,9,20,3.95,12.1,2.5,Rice
36,28,38,5.76,24.5,4.3,Wheat
13,10,17,2.14,17.9,4.9,Wheat
40,10,10,4.7,21.2,2.3,Cotton
49,20,9,6.08,21.5,1.3,Soybean
12,18,9,2.28,13.2,1.1,Maize
35,21,38,5.31,19.2,2.2,Maize
34,22,35,5.2,18.2,2.6,Soybean
30,20,25,4.5,16.8,3.2,Wheat
47,26,21,6.42,19.9,3.5,Soybean
10,7,11,1.57,14.0,3.9,Soybean
22,22,23,3.76,17.9,4.5,Wheat
12,18,15,2.4,17.2,2.4,Rice
16,5,36,2.57,12.9,3.6,Rice
31,5,19,3.73,16.4,4.7,Wheat
11,18,39,2.78,11.2,3.6,Wheat
12,10,33,2.36,12.3,3.5,Wheat
24,12,34,3.68,11.0,2.6,Cotton
11,8,25,2.0,8.6,1.6,Wheat
30,18,14,4.18,14.8,2.5,Maize
16,25,18,3.21,11.0,4.9,Cotton
45,21,31,6.17,20.7,4.2,Rice
49,26,13,6.46,26.8,4.7,Wheat
21,30,13,3.86,18.9,2.9,Soybean
20,21,38,3.81,14.1,1.4,Maize
32,25,12,4.69,23.4,3.6,Rice
43,11,29,5.43,23.4,4.9,Rice
40,6,25,4.8,17.9,1.7,Rice
44,11,32,5.59,17.4,2.1,Soybean
23,9,19,3.13,13.3,3.4,Cotton
33,15,27,4.59,13.1,3.6,Soybean
33,27,6,4.77,24.1,3.5,Soybean
45,9,19,5.33,21.8,1.6,Rice
24,23,13,3.81,20.3,4.2,Wheat
45,16,25,5.8,24.1,4.7,Cotton
23,8,16,3.02,14.6,1.8,Cotton
26,16,7,3.54,18.1,3.1,Soybean
44,9,29,5.43,17.5,4.8,Soybean
37,9,25,4.65,16.9,3.2,Soybean
22,16,32,3.64,14.4,2.9,Cotton
26,5,31,3.47,17.6,3.5,Wheat
47,6,31,5.62,24.8,4.0,Maize
19,28,27,3.84,13.0,3.5,Cotton
30,30,35,5.2,14.0,3.4,Maize
35,14,27,4.74,18.5,2.2,Wheat
16,10,26,2.62,16.4,3.3,Rice
31,17,18,4.31,22.0,1.1,Cotton
14,24,26,3.12,19.3,3.2,Wheat
46,16,39,6.18,25.5,3.5,Wheat
37,6,14,4.28,20.3,4.3,Rice
27,10,6,3.32,12.1,3.4,Soybean
44,14,19,5.48,23.6,2.6,Cotton
39,30,31,6.02,20.5,4.4,Rice
42,22,8,5.46,24.5,4.9,Wheat
33,22,30,5.0,17.1,3.6,Cotton
38,29,25,5.75,20.9,4.5,Maize
30,26,18,4.66,15.1,1.6,Maize
41,17,31,5.57,22.1,4.7,Maize
41,13,10,4.95,18.0,3.0,Cotton
44,24,37,6.34,24.6,4.0,Wheat
13,18,7,2.34,10.3,1.2,Rice
28,26,9,4.28,21.1,1.7,Soybean
17,15,28,3.01,11.2,1.4,Soybean
35,14,12,4.44,15.1,4.1,Rice
35,17,21,4.77,13.9,1.6,Maize
31,13,13,4.01,19.3,3.8,Rice
35,13,35,4.85,16.7,1.9,Rice
49,26,23,6.66,23.1,4.4,Rice
19,22,38,3.76,19.1,4.4,Wheat
15,12,20,2.5,15.3,2.8,Cotton
22,27,38,4.31,13.6,4.8,Wheat
36,27,32,5.59,21.9,3.4,Soybean
41,26,33,6.06,19.8,2.2,Soybean
49,13,18,5.91,22.8,1.2,Soybean
45,24,11,5.92,24.6,3.3,Rice
28,26,10,4.3,14.7,3.4,Maize
15,8,31,2.52,12.3,1.2,Soybean
43,10,37,5.54,24.1,4.7,Wheat
34,21,13,4.71,22.2,2.0,Cotton
19,20,10,3.1,12.8,4.6,Rice
12,14,26,2.42,9.0,3.7,Soybean
39,7,16,4.57,20.3,3.4,Maize
29,10,40,4.2,17.3,3.7,Maize
23,22,36,4.12,13.9,3.4,Wheat
35,21,24,5.03,22.0,3.0,Rice
39,7,19,4.63,15.5,1.1,Maize
14,16,34,2.88,13.8,2.0,Rice
50,28,25,6.9,20.8,3.0,Wheat
27,25,33,4.61,20.5,3.9,Rice
46,29,36,6.77,18.5,4.4,Wheat
44,30,26,6.42,23.5,5.0,Cotton
20,30,37,4.24,16.4,2.4,Maize
23,22,18,3.76,12.7,2.7,Wheat
38,6,10,4.3,17.0,3.7,Maize
22,25,26,3.97,14.4,1.1,Soybean
34,30,39,5.68,15.3,2.0,Cotton
37,21,35,5.45,20.0,1.1,Cotton
31,6,16,3.72,20.3,3.4,Maize
33,21,40,5.15,16.4,3.5,Wheat
46,10,31,5.72,17.1,3.2,Soybean
26,30,21,4.52,21.3,3.1,Maize
34,12,24,4.48,21.2,4.6,Cotton
18,8,14,2.48,10.8,2.0,Wheat
31,15,13,4.11,19.7,2.2,Soybean
12,9,35,2.35,15.5,1.1,Wheat
41,21,19,5.53,15.8,3.7,Wheat
21,20,13,3.36,14.7,2.0,Rice
27,6,25,3.5,19.3,1.3,Soybean
15,12,28,2.66,10.9,2.6,Soybean
42,17,17,5.39,19.8,1.0,Maize
47,18,10,5.8,20.5,2.6,Wheat
32,20,8,4.36,13.8,3.8,Cotton
42,24,5,5.5,21.4,2.8,Cotton
41,12,14,4.98,22.5,3.0,Rice
25,18,36,4.12,16.8,2.8,Maize
36,10,28,4.66,18.9,2.1,Maize
11,29,30,3.15,19.1,3.2,Wheat
41,18,15,5.3,15.2,3.9,Soybean
23,10,10,3.0,11.3,3.1,Wheat
49,28,18,6.66,27.3,1.3,Soybean
35,10,17,4.34,21.5,2.3,Soybean
35,11,34,4.73,20.2,3.7,Cotton
45,9,36,5.67,24.9,1.6,Maize
46,25,14,6.13,22.4,1.1,Cotton
34,16,13,4.46,19.1,2.3,Maize
35,12,26,4.62,21.6,2.2,Soybean
33,7,5,3.75,19.1,2.7,Cotton
28,8,21,3.62,11.6,2.0,Wheat
46,13,27,5.79,21.9,1.1,Maize
32,8,18,3.96,13.3,3.7,Maize
11,5,34,2.03,12.2,3.4,Soybean
48,10,16,5.62,17.0,3.9,Soybean
46,15,31,5.97,19.1,1.0,Wheat
40,12,12,4.84,16.4,1.6,Cotton
38,20,40,5.6,19.0,1.9,Soybean
24,16,23,3.66,14.2,2.2,Rice
20,24,11,3.42,19.1,4.4,Soybean
46,15,6,5.47,23.1,4.6,Rice
17,18,5,2.7,15.0,3.0,Soybean
28,10,21,3.72,16.3,2.9,Rice
38,6,32,4.74,23.1,5.0,Maize
39,24,23,5.56,25.0,3.1,Wheat
47,10,11,5.42,22.4,4.4,Cotton
30,13,10,3.85,20.0,1.1,Cotton
38,13,32,5.09,17.8,3.7,Wheat
41,10,27,5.14,17.9,1.6,Rice
20,22,22,3.54,20.0,2.1,Soybean
28,13,16,3.77,16.4,3.4,Maize
34,24,24,5.08,16.7,2.9,Wheat
46,10,6,5.22,20.3,4.2,Cotton
14,24,34,3.28,16.9,3.9,Soybean
24,27,10,3.95,14.4,3.2,Soybean
29,23,31,4.67,22.2,4.4,Soybean
49,11,22,5.89,22.7,4.6,Soybean
20,19,7,3.09,12.9,3.7,Wheat
16,14,40,3.1,10.3,4.3,Cotton
17,29,12,3.39,20.4,2.0,Cotton
14,7,30,2.35,16.8,3.4,Rice
48,20,13,6.06,21.9,2.0,Wheat
25,24,6,3.82,16.3,2.6,Rice
12,7,16,1.87,12.1,4.9,Maize
23,12,37,3.64,15.4,1.4,Maize
12,25,27,2.99,10.0,2.6,Cotton
40,18,22,5.34,20.3,4.8,Rice
30,22,31,4.72,22.1,2.9,Rice
10,23,29,2.73,19.1,1.7,Wheat
25,11,20,3.45,20.1,3.3,Rice
25,14,6,3.32,12.8,2.9,Cotton
25,27,10,4.05,18.8,2.8,Wheat
35,9,26,4.47,15.8,2.5,Cotton
15,10,38,2.76,10.9,1.5,Wheat
18,16,26,3.12,15.4,3.3,Cotton
46,7,38,5.71,24.8,1.5,Cotton
24,22,31,4.12,13.3,3.4,Rice
18,26,32,3.74,16.5,1.4,Soybean
35,5,21,4.17,17.3,2.4,Rice
43,22,26,5.92,20.7,3.8,Soybean
39,13,22,4.99,16.2,4.2,Maize
11,22,20,2.6,13.7,1.1,Maize
26,14,31,3.92,20.9,1.3,Cotton
49,7,13,5.51,25.4,4.6,Wheat
19,28,20,3.7,15.3,1.3,Maize
42,21,35,5.95,24.2,1.6,Rice
13,21,34,3.03,16.5,1.4,Soybean
10,16,19,2.18,9.1,2.4,Wheat
36,7,26,4.47,17.3,2.2,Wheat
30,6,20,3.7,12.8,4.3,Wheat
11,15,26,2.37,16.6,4.5,Maize
19,22,18,3.36,14.5,1.6,Cotton
30,11,39,4.33,14.2,1.7,Maize
45,9,25,5.45,18.4,1.6,Maize
25,18,13,3.66,20.4,2.9,Maize
17,22,28,3.36,16.0,1.5,Wheat
26,20,6,3.72,21.8,3.3,Wheat
34,7,32,4.39,13.8,2.1,Wheat
10,7,7,1.49,12.3,3.4,Rice
28,9,23,3.71,17.7,2.8,Rice
22,8,31,3.22,14.2,4.1,Maize
31,15,36,4.57,15.0,4.8,Cotton
27,26,25,4.5,19.6,3.6,Cotton
48,28,13,6.46,22.8,4.2,Soybean
14,17,19,2.63,11.1,4.3,Rice
38,22,28,5.46,18.9,2.8,Soybean
47,19,12,5.89,17.9,2.1,Wheat
45,20,37,6.24,22.5,2.4,Cotton
18,26,29,3.68,17.4,4.1,Cotton
28,23,10,4.15,18.0,3.4,Soybean
16,14,22,2.74,13.4,1.7,Soybean
36,21,16,4.97,19.4,2.4,Rice
39,19,8,5.01,24.6,2.7,Soybean
19,19,10,3.05,15.3,2.9,Maize
42,10,11,4.92,24.0,2.2,Maize
24,10,32,3.54,10.8,1.1,Wheat
39,29,14,5.63,23.6,4.6,Soybean
22,15,19,3.33,15.2,5.0,Wheat
26,22,30,4.3,13.1,2.1,Rice
33,12,13,4.16,22.4,4.5,Rice
42,10,39,5.48,19.9,2.2,Maize
26,20,9,3.78,18.8,3.4,Maize
24,14,37,3.84,20.1,1.7,Maize
12,14,15,2.2,15.3,3.3,Wheat
38,22,33,5.56,23.1,3.8,Wheat
35,21,6,4.67,23.0,4.5,Wheat
49,19,22,6.29,21.3,2.4,Rice
15,8,23,2.36,17.3,4.4,Wheat
34,14,8,4.26,19.9,4.9,Soybean
11,21,34,2.83,16.3,4.8,Wheat
43,23,17,5.79,25.3,4.9,Maize
11,27,17,2.79,14.9,1.2,Maize
29,27,24,4.73,20.5,1.8,Rice
23,24,24,3.98,13.8,3.1,Maize
35,8,22,4.34,13.5,4.5,Maize
40,12,11,4.82,16.7,3.8,Wheat
15,19,24,2.93,12.6,4.2,Maize
24,29,17,4.19,20.2,2.5,Soybean
34,9,19,4.23,14.1,1.2,Cotton
30,22,40,4.9,18.1,1.6,Maize
12,25,21,2.87,15.3,1.3,Maize
44,5,25,5.15,15.6,1.4,Wheat
34,17,9,4.43,17.0,2.3,Soybean
19,5,23,2.61,13.8,2.0,Rice
30,23,12,4.39,18.1,2.8,Cotton
33,30,12,5.04,19.2,1.2,Maize
24,28,11,4.02,14.8,2.1,Maize
34,26,38,5.46,23.0,3.0,Maize
34,7,17,4.09,20.4,1.5,Wheat
44,10,40,5.7,14.9,4.1,Rice
23,20,12,3.54,15.4,1.6,Wheat
23,11,37,3.59,13.6,4.1,Maize
42,8,25,5.1,17.8,3.4,Maize
37,26,23,5.46,17.4,4.1,Soybean
26,6,12,3.14,12.2,2.0,Maize
13,28,29,3.28,17.2,2.8,Maize
50,7,21,5.77,17.4,1.4,Cotton
25,7,22,3.29,20.5,4.2,Maize
50,27,29,6.93,18.8,3.8,Rice
44,15,28,5.71,23.2,2.2,Wheat
